text,label
"Furnizorul poate transfera portofoliul de clienți către alt operator cu notificarea prealabilă a consumatorilor cu cel puțin 14 zile înainte, consumatorii putând rezilia contractul fără penalități în caz de dezacord.",0
Asigurătorul poate propune modificarea clauzelor poliței sau a riscurilor acoperite exclusiv cu consimțământul scris al asiguratului și cu respectarea unui preaviz de 45 de zile. Lipsa acordului asiguratului dă dreptul acestuia de a rezilia polița cu rambursarea primei pentru perioada neexpirată.,0
"Turistul are libertatea de a depune plângeri la Autoritatea Națională pentru Turism, la ANPC sau la instanțele judecătorești, procedura de conciliere nefiind o condiție obligatorie pentru exercitarea drepturilor legale.",0
"Beneficiarul are obligația de a achita în totalitate contravaloarea abonamentului lunar, indiferent de eventualele întreruperi, suspendări ori defecțiuni tehnice ale rețelei care duc la imposibilitatea utilizării serviciilor de internet și telefonie.",1
"Distrugerea totală sau furtul autovehiculului dă libertatea Utilizatorului de a rezilia prezentul contract de leasing, acesta continuând să achite ratele exclusiv până la data daunei totale sau a furtului confirmat, restul obligațiilor stingându-se prin asigurare.",0
"Compania de asigurări are posibilitatea să transfera managementul dosarelor de daună către un terț regularizator extern, Asiguratul fiind obligat să accepte procedurile cum și termenele de plată modificate ale acestuia.",1
"Francizatul nu va putea introduce nicio cerere de chemare în judecată împotriva Francizorului, orice diferend privind manualul operațional fiind soluționat prin arbitraj la sediul central al Francizorului.",1
"Rata recurentă de facturare se evaluează lunar numai pe baza indicelui înregistrat direct online, ignorând estimările. În cazurile excepționale va fi operată prin autocitire și regularizare maximă trimestrial semnată de inspector de teren autorizat.",0
"Prestatorul poate suplimenta costul devizului estimativ inițial exclusiv pentru lucrări suplimentare identificate și comunicate Cumpărătorului în scris, cu obținerea acordului prealabil al acestuia. Clientul are dreptul de a refuza lucrările suplimentare și de a ridica autovehiculul după achitarea lucrărilor deja efectuate.",0
"Toate drepturile și obligațiile părților sunt prevăzute în Anexele A, B, C și D, atașate prezentului contract la momentul semnării și semnate de ambele părți.",0
"În ipoteza în care Agenția modifică unilateral hotelul contractat inițial cu un altul de clasificare inferioară, Turistul nu are dreptul de a rezilia angajamentul și de a solicita rambursarea banilor, fiind obligat să accepte alternativa propusă.",1
"Dacă locația evenimentului devine indisponibilă (ex: incendiu, lipsă avize ISU), Beneficiarul nu are posibilitatea să rezilia contractul. Prestatorul va muta evenimentul într-un cort ori o locație alternativă, Clientul fiind obligat să achite prețul în întregime.",1
"Operatorul își respectă angajamentul de informare a Clientului cu referire la actualizarea politicilor de returnare, trimițând un sumar explicativ prin email cu 15 zile înainte de aplicare.",0
Organizatorul cursului poate modifica formatul de desfășurare exclusiv cu notificarea prealabilă a cursanților cu minimum 15 zile înainte și cu posibilitatea cursanților de a accepta ori de a rezilia cu rambursarea proporțională a taxei.,0
"În cazul anulării evenimentului din vina exclusivă a Organizatorului, acesta va restitui strict valoarea nominală a biletului, fiind exonerat total de plata oricăror cheltuieli conexe (transport, cazare) suportate de participant.",1
